1 -0.7368421052631579,0.2631578947368421 1.0 -0.631578947368421,0.3684210526315789 -0.23076923076923078,0.1346153846153846,-0.6346153846153846 0.35294117647058826 0.9807692307692307
2 -0.38235294117647056,0.3235294117647059,-0.29411764705882354 -0.17307692307692307,0.19230769230769232,-0.5192307692307693,0.11538461538461539 1.0 -0.9230769230769231,0.07692307692307693 0.6470588235294118 0.9807692307692307
3 -0.3235294117647059,0.29411764705882354,-0.38235294117647056 -0.6037735849056604,0.16981132075471697,-0.22641509433962265 -0.38235294117647056,0.20588235294117646,-0.4117647058823529 -0.7169811320754716,0.05660377358490566,-0.22641509433962265 0.6346153846153846 1.0
4 -0.6388888888888888,0.16666666666666666,-0.19444444444444445 -0.6538461538461539,0.09615384615384616,-0.25 -0.6111111111111112,0.19444444444444445,-0.19444444444444445 -0.6153846153846154,0.1346153846153846,-0.25 0.6862745098039216 0.9807692307692307
5 -0.38235294117647056,0.29411764705882354,-0.3235294117647059 -0.5849056603773585,0.1509433962264151,-0.2641509433962264 -0.4411764705882353,0.17647058823529413,-0.38235294117647056 -0.32075471698113206,0.37735849056603776,-0.3018867924528302 0.6346153846153846 1.0
6 -0.35294117647058826,0.29411764705882354,-0.35294117647058826 -0.6037735849056604,0.16981132075471697,-0.22641509433962265 -0.4117647058823529,0.17647058823529413,-0.4117647058823529 -0.6037735849056604,0.18867924528301888,-0.20754716981132076 0.6346153846153846 1.0
7 -0.3235294117647059,0.29411764705882354,-0.38235294117647056 -0.3018867924528302,0.33962264150943394,-0.3584905660377358 -0.35294117647058826,0.20588235294117646,-0.4411764705882353 -0.22641509433962265,0.20754716981132076,-0.5660377358490566 0.6346153846153846 1.0
8 -0.35294117647058826,0.29411764705882354,-0.35294117647058826 -0.37735849056603776,0.20754716981132076,-0.41509433962264153 -0.4117647058823529,0.17647058823529413,-0.4117647058823529 -0.32075471698113206,0.33962264150943394,-0.33962264150943394 0.6346153846153846 1.0
9 -0.17647058823529413,0.7647058823529411,-0.058823529411764705 -0.5192307692307693,0.23076923076923078,-0.25 -0.4117647058823529,0.17647058823529413,-0.4117647058823529 -0.7115384615384616,0.057692307692307696,-0.23076923076923078 0.6470588235294118 0.9807692307692307
0 1.0 0.09803921568627451,-0.9019607843137255 -0.23529411764705882,0.17647058823529413,-0.5882352941176471 0.11764705882352941,-0.8823529411764706 0.66 0.9615384615384616
