1 -0.5,0.16666666666666666,-0.3333333333333333 -0.9,0.1 1.0 -0.1,0.1,-0.7,0.1 0.5555555555555556 0.75
2 -0.25,0.5,-0.25 -0.2,0.3,-0.3,0.2 1.0 -0.2,0.2,-0.4,0.2 0.7777777777777778 0.75
3 -0.25,0.5,-0.25 -0.07692307692307693,0.3076923076923077,-0.23076923076923078,0.23076923076923078,-0.15384615384615385 -0.125,0.625,-0.25 -0.15384615384615385,0.15384615384615385,-0.38461538461538464,0.23076923076923078,-0.07692307692307693 0.5833333333333334 1.0
4 -0.5555555555555556,0.2222222222222222,-0.2222222222222222 -0.6153846153846154,0.07692307692307693,-0.3076923076923077 -0.5555555555555556,0.2222222222222222,-0.2222222222222222 -0.5384615384615384,0.15384615384615385,-0.3076923076923077 0.6666666666666666 1.0
5 -0.25,0.75 0.15384615384615385,-0.38461538461538464,0.3076923076923077,-0.15384615384615385 -0.25,0.5,-0.25 -0.6923076923076923,0.23076923076923078,-0.07692307692307693 0.5833333333333334 1.0
6 -0.625,0.25,-0.125 -0.5384615384615384,0.3076923076923077,-0.15384615384615385 -0.25,0.5,-0.25 -0.38461538461538464,0.46153846153846156,-0.15384615384615385 0.5833333333333334 1.0
7 1.0 0.15384615384615385,-0.8461538461538461 -0.125,0.125,-0.75 0.23076923076923078,-0.7692307692307693 0.5833333333333334 1.0
8 -0.3333333333333333,0.4444444444444444,-0.2222222222222222 -0.6153846153846154,0.23076923076923078,-0.15384615384615385 -0.2222222222222222,0.5555555555555556,-0.2222222222222222 -0.6153846153846154,0.23076923076923078,-0.15384615384615385 0.6666666666666666 1.0
9 -0.25,0.5,-0.25 -0.15384615384615385,0.46153846153846156,-0.38461538461538464 -0.125,0.25,-0.625 -0.15384615384615385,0.3076923076923077,-0.5384615384615384 0.5833333333333334 1.0
0 -0.2222222222222222,0.5555555555555556,-0.2222222222222222 -0.3,0.4,-0.3 -0.2222222222222222,0.5555555555555556,-0.2222222222222222 -0.3,0.4,-0.3 0.8888888888888888 0.75
