### Filename
### ref/Courier/symbols-generated.png-ref.txt
( -0.8461538461538461,0.15384615384615385 0.07017543859649122,-0.8596491228070176,0.07017543859649122 -0.8461538461538461,0.15384615384615385 -0.38596491228070173,0.22807017543859648,-0.38596491228070173 0.46153846153846156,-0.5384615384615384 -1.0 0.21428571428571427 0.7671232876712328 0.9613095238095238
) 0.15384615384615385,-0.8461538461538461 -0.38596491228070173,0.22807017543859648,-0.38596491228070173 0.15384615384615385,-0.8461538461538461 0.07017543859649122,-0.8596491228070176,0.07017543859649122 -0.5384615384615384,0.46153846153846156 -1.0 0.21428571428571427 0.7671232876712328 0.9568452380952381
[ -0.07142857142857142,0.8571428571428571,-0.07142857142857142 -0.01818181818181818,0.03636363636363636,-0.8909090909090909,0.03636363636363636,-0.01818181818181818 -0.07142857142857142,0.8571428571428571,-0.07142857142857142 -0.01818181818181818,0.9636363636363636,-0.01818181818181818 0.42857142857142855,-0.5714285714285714 -1.0 0.24074074074074073 0.7397260273972602 1.0897435897435896
] -0.07142857142857142,0.8571428571428571,-0.07142857142857142 -0.01818181818181818,0.9636363636363636,-0.01818181818181818 -0.07142857142857142,0.8571428571428571,-0.07142857142857142 -0.01818181818181818,0.03636363636363636,-0.8909090909090909,0.03636363636363636,-0.01818181818181818 -0.5714285714285714,0.42857142857142855 -1.0 0.24074074074074073 0.7397260273972602 1.0897435897435896
, -0.3125,0.6875 0.043478260869565216,-0.9565217391304348 -0.125,0.1875,-0.6875 -0.782608695652174,0.17391304347826086,-0.043478260869565216 -0.125,0.5625,-0.3125 0.43478260869565216,-0.5652173913043478 0.6818181818181818 0.3013698630136986 1.1363636363636365
. -0.2857142857142857,0.42857142857142855,-0.2857142857142857 -0.3076923076923077,0.38461538461538464,-0.3076923076923077 -0.2857142857142857,0.42857142857142855,-0.2857142857142857 -0.3076923076923077,0.38461538461538464,-0.3076923076923077 1.0 1.0 1.0833333333333333 0.1643835616438356 1.8782051282051282
/ -0.8571428571428571,0.10714285714285714,-0.03571428571428571 -0.018518518518518517,0.05555555555555555,-0.9259259259259259 -0.03571428571428571,0.10714285714285714,-0.8571428571428571 -0.9259259259259259,0.05555555555555555,-0.018518518518518517 -0.42857142857142855,0.17857142857142858,-0.39285714285714285 0.1111111111111111,-0.8888888888888888 0.5094339622641509 0.726027397260274 0.4109014675052411
° -0.36363636363636365,0.2727272727272727,-0.36363636363636365 -0.34782608695652173,0.30434782608695654,-0.34782608695652173 -0.36363636363636365,0.2727272727272727,-0.36363636363636365 -0.34782608695652173,0.30434782608695654,-0.34782608695652173 0.22727272727272727,-0.5454545454545454,0.22727272727272727 0.21739130434782608,-0.5652173913043478,0.21739130434782608 0.9545454545454546 0.3013698630136986 1.1774891774891776
# -0.5348837209302325,0.06976744186046512,-0.20930232558139536,0.06976744186046512,-0.11627906976744186 -0.34615384615384615,0.038461538461538464,-0.6153846153846154 -0.13953488372093023,0.06976744186046512,-0.20930232558139536,0.06976744186046512,-0.5116279069767442 -0.5961538461538461,0.038461538461538464,-0.36538461538461536 -0.3023255813953488,0.11627906976744186,-0.18604651162790697,0.09302325581395349,-0.3023255813953488 0.09615384615384616,-0.23076923076923078,0.07692307692307693,-0.09615384615384616,0.2692307692307692,-0.23076923076923078 0.8235294117647058 0.6986301369863014 0.6708683473389355
@ -0.4230769230769231,0.2692307692307692,-0.3076923076923077 -0.6078431372549019,0.0784313725490196,-0.3137254901960784 -0.46153846153846156,0.3076923076923077,-0.23076923076923078 -0.3333333333333333,0.3137254901960784,-0.35294117647058826 0.19230769230769232,-0.07692307692307693,0.15384615384615385,-0.34615384615384615,0.19230769230769232,-0.038461538461538464 -0.6078431372549019,0.0784313725490196,-0.3137254901960784 0.5 0.684931506849315 0.9904
' -0.14285714285714285,0.8571428571428571 0.4117647058823529,-0.5882352941176471 -0.2857142857142857,0.42857142857142855,-0.2857142857142857 -0.058823529411764705,0.23529411764705882,-0.7058823529411765 -0.14285714285714285,0.7142857142857143,-0.14285714285714285 -1.0 0.375 0.2191780821917808 1.9166666666666667
§ -0.3333333333333333,0.5757575757575758,-0.09090909090909091 -0.5714285714285714,0.12244897959183673,-0.30612244897959184 -0.09090909090909091,0.5454545454545454,-0.36363636363636365 -0.30612244897959184,0.12244897959183673,-0.5714285714285714 -0.09090909090909091,0.24242424242424243,-0.2727272727272727,0.30303030303030304,-0.09090909090909091 0.08163265306122448,-0.32653061224489793,0.14285714285714285,-0.14285714285714285,0.2653061224489796,-0.04081632653061224 0.6666666666666666 0.6575342465753424 0.92578125
- -0.030303030303030304,0.9393939393939394,-0.030303030303030304 -0.16666666666666666,0.6666666666666666,-0.16666666666666666 -0.030303030303030304,0.9393939393939394,-0.030303030303030304 -0.16666666666666666,0.6666666666666666,-0.16666666666666666 1.0 1.0 6.4 0.0684931506849315 2.2375
_ 1.0 1.0 1.0 1.0 1.0 1.0 14.666666666666666 0.0410958904109589 2.4015151515151514
* -0.41379310344827586,0.1724137931034483,-0.41379310344827586 -0.39285714285714285,0.07142857142857142,-0.5357142857142857 -0.2413793103448276,0.06896551724137931,-0.3793103448275862,0.06896551724137931,-0.2413793103448276 -0.42857142857142855,0.03571428571428571,-0.5357142857142857 -0.06896551724137931,0.896551724137931,-0.034482758620689655 0.7142857142857143,-0.2857142857142857 1.037037037037037 0.3698630136986301 0.8544973544973545
^ -0.44,0.16,-0.4 -0.8235294117647058,0.17647058823529413 -0.04,0.08,-0.8,0.08 -0.8235294117647058,0.11764705882352941,-0.058823529411764705 -0.2,0.2,-0.2,0.24,-0.16 -0.17647058823529413,0.4117647058823529,-0.4117647058823529 1.5 0.2191780821917808 0.7604166666666666
$ -0.4827586206896552,0.10344827586206896,-0.41379310344827586 -0.543859649122807,0.12280701754385964,-0.3333333333333333 -0.41379310344827586,0.10344827586206896,-0.4827586206896552 -0.631578947368421,0.12280701754385964,-0.24561403508771928 -0.4827586206896552,0.4482758620689655,-0.06896551724137931 -0.543859649122807,0.12280701754385964,-0.3333333333333333 0.5 0.7671232876712328 0.7806122448979592
€ -0.5348837209302325,0.18604651162790697,-0.27906976744186046 -0.7727272727272727,0.06818181818181818,-0.1590909090909091 -0.5116279069767442,0.20930232558139536,-0.27906976744186046 -0.3181818181818182,0.09090909090909091,-0.1590909090909091,0.09090909090909091,-0.3409090909090909 -0.16279069767441862,0.13953488372093023,-0.6976744186046512 -0.022727272727272728,0.09090909090909091,-0.18181818181818182,0.13636363636363635,-0.11363636363636363,0.13636363636363635,-0.1590909090909091,0.13636363636363635,-0.022727272727272728 0.9767441860465116 0.589041095890411 0.9042081949058693
£ -0.34615384615384615,0.34615384615384615,-0.3076923076923077 -0.8444444444444444,0.08888888888888889,-0.06666666666666667 -0.038461538461538464,0.11538461538461539,-0.4230769230769231,0.2692307692307692,-0.15384615384615385 -0.4666666666666667,0.06666666666666667,-0.4,0.044444444444444446,-0.022222222222222223 0.8461538461538461,-0.15384615384615385 -0.044444444444444446,0.17777777777777778,-0.6222222222222222,0.13333333333333333,-0.022222222222222223 0.5681818181818182 0.6027397260273972 0.8445454545454546
` -0.1,0.1,-0.8 -0.8333333333333334,0.08333333333333333,-0.08333333333333333 -0.9,0.05,-0.05 -0.16666666666666666,0.25,-0.5833333333333334 -0.05,0.6,-0.35 -0.08333333333333333,0.5,-0.4166666666666667 1.7272727272727273 0.1506849315068493 0.7559808612440191
´ -0.8,0.1,-0.1 -0.16666666666666666,0.25,-0.5833333333333334 -0.05,0.05,-0.9 -0.8333333333333334,0.08333333333333333,-0.08333333333333333 -0.4,0.55,-0.05 -0.5833333333333334,0.25,-0.16666666666666666 1.7272727272727273 0.1506849315068493 0.8038277511961722
+ -0.4594594594594595,0.08108108108108109,-0.4594594594594595 -0.4864864864864865,0.02702702702702703,-0.4864864864864865 -0.4594594594594595,0.08108108108108109,-0.4594594594594595 -0.5135135135135135,0.02702702702702703,-0.4594594594594595 -0.02702702702702703,0.972972972972973 1.0 1.0 0.4931506849315068 0.5061728395061729
< -0.8918918918918919,0.08108108108108109,-0.02702702702702703 -0.029411764705882353,0.08823529411764706,-0.7647058823529411,0.08823529411764706,-0.029411764705882353 -0.8918918918918919,0.08108108108108109,-0.02702702702702703 -0.47058823529411764,0.029411764705882353,-0.5 0.24324324324324326,-0.7567567567567568 -0.23529411764705882,0.14705882352941177,-0.23529411764705882,0.14705882352941177,-0.23529411764705882 1.0909090909090908 0.4520547945205479 0.6026936026936027
> -0.02702702702702703,0.10810810810810811,-0.8648648648648649 -0.47058823529411764,0.058823529411764705,-0.47058823529411764 -0.02702702702702703,0.10810810810810811,-0.8648648648648649 -0.029411764705882353,0.058823529411764705,-0.8235294117647058,0.058823529411764705,-0.029411764705882353 -0.7567567567567568,0.24324324324324326 -0.17647058823529413,0.14705882352941177,-0.35294117647058826,0.14705882352941177,-0.17647058823529413 1.0909090909090908 0.4520547945205479 0.5723905723905723
| 1.0 1.0 1.0 1.0 1.0 -1.0 0.0410958904109589 1.0 2.6940639269406392
